Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1996-97,21,PHI,NBA,PG,76,74,3045,7.4,17.8,0.416,1.8,5.4,0.341,5.6,12.4,0.448,0.467,4.5,6.4,0.702,1.4,2.3,3.7,6.7,1.9,0.3,4,2.8,21.1,MVP-17ROY-1
1997-98,22,PHI,NBA,PG,80,80,3150,7.4,16.1,0.461,0.8,2.7,0.298,6.6,13.4,0.494,0.486,4.5,6.1,0.729,1,2.4,3.4,5.6,2,0.3,2.8,2.3,20.1,
1998-99,23,PHI,NBA,SG,48,48,1990,7.9,19.1,0.412,1,3.6,0.291,6.8,15.5,0.44,0.439,6.4,8.6,0.751,1.2,3.1,4.3,4,2,0.1,3,1.8,23.2,MVP-4NBA1
1999-00,24,PHI,NBA,SG,70,70,2853,9.2,21.9,0.421,1.1,3.3,0.341,8.1,18.6,0.435,0.446,5.6,7.8,0.713,0.9,2.5,3.4,4.1,1.8,0.1,2.9,2,25.1,MVP-7ASNBA2
2000-01,25,PHI,NBA,SG,71,71,2979,9.2,21.9,0.42,1.2,3.7,0.32,8,18.2,0.441,0.447,7.1,8.7,0.814,0.6,2.7,3.3,3.9,2.2,0.2,2.9,1.8,26.7,MVP-1DPOY-11ASNBA1
2001-02,26,PHI,NBA,SG,60,59,2622,9.1,22.9,0.398,1.1,3.7,0.291,8.1,19.2,0.419,0.422,6.5,8,0.812,0.6,3.1,3.7,4.5,2.3,0.2,3.3,1.4,25.9,MVP-9ASNBA2
2002-03,27,PHI,NBA,SG,82,82,3485,8.3,20,0.414,0.9,3.1,0.277,7.4,16.9,0.44,0.436,5.9,7.6,0.774,0.7,2.9,3.6,4.7,2.3,0.1,3,1.5,23.4,MVP-6DPOY-6ASNBA2
2003-04,28,PHI,NBA,SG,48,47,2040,7.7,19.9,0.387,1,3.5,0.286,6.7,16.3,0.408,0.412,6,8,0.745,0.6,2.5,3.1,5.7,2,0.1,3.7,1.5,22.3,AS
2004-05,29,PHI,NBA,PG,75,75,3174,8.7,20.6,0.424,1.2,3.8,0.308,7.6,16.8,0.451,0.453,7.4,8.9,0.835,0.6,2.8,3.4,6.8,2,0.1,3.9,1.6,26.1,MVP-5DPOY-11ASNBA1
2005-06,30,PHI,NBA,PG,72,72,3103,9.5,21.1,0.447,0.8,2.6,0.323,8.6,18.6,0.465,0.467,7.8,9.6,0.814,0.5,2.2,2.7,6.2,1.6,0.1,2.9,1.4,27.6,MVP-10ASNBA3
2006-07,31,2TM,NBA,PG,65,64,2761,7.6,17.1,0.442,0.8,2.6,0.315,6.8,14.6,0.465,0.466,6.3,8,0.795,0.3,2.2,2.5,6.1,1.6,0.2,3.5,1.2,22.3,AS
2006-07,31,PHI,NBA,PG,15,15,640,8.5,20.6,0.413,0.7,3,0.226,7.8,17.6,0.444,0.429,8.7,9.8,0.885,0.4,1.9,2.3,6.1,1.9,0.1,3.7,1.2,26.3,
2006-07,31,DEN,NBA,SG,50,49,2121,7.3,16.1,0.454,0.8,2.4,0.347,6.4,13.6,0.473,0.48,5.6,7.4,0.759,0.3,2.3,2.6,6.1,1.5,0.2,3.4,1.3,21.1,
2007-08,32,DEN,NBA,SG,82,82,3424,7.5,16.4,0.458,1,2.9,0.345,6.5,13.5,0.482,0.488,6.8,8.4,0.809,0.5,2.1,2.6,6.2,1.7,0.1,2.6,1.1,22.8,AS
2008-09,33,2TM,NBA,SG,57,53,2093,6,14.3,0.417,0.5,1.7,0.283,5.5,12.6,0.435,0.434,4.7,6,0.781,0.5,2.5,3,4.9,1.5,0.1,2.5,1.5,17.1,AS
2008-09,33,DEN,NBA,SG,3,3,123,5.3,11.7,0.45,0.6,2.3,0.25,4.7,9.4,0.5,0.475,5.3,7.3,0.72,0.9,1.5,2.3,5.9,0.9,0.3,2.9,0.9,16.4,
2008-09,33,DET,NBA,PG,54,50,1970,6,14.5,0.416,0.5,1.7,0.286,5.6,12.8,0.432,0.432,4.6,5.9,0.786,0.5,2.5,3,4.8,1.6,0.1,2.5,1.5,17.2,
2009-10,34,2TM,NBA,PG,28,24,865,5.7,13.2,0.43,0.4,1,0.36,5.3,12.1,0.436,0.445,4.3,5.5,0.794,0.7,2.6,3.3,4.7,0.8,0.1,2.7,2,16,AS
2009-10,34,MEM,NBA,PG,3,0,67,8.1,14,0.577,0.5,0.5,1,7.5,13.4,0.56,0.596,3.2,6.4,0.5,0.5,1.6,2.1,5.9,0.5,0,3.8,2.7,19.9,
2009-10,34,PHI,NBA,SG,25,24,798,5.5,13.1,0.417,0.4,1.1,0.333,5.1,12,0.425,0.431,4.4,5.4,0.824,0.7,2.7,3.4,4.6,0.8,0.1,2.6,1.9,15.7,
2010-11,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
,,,,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,914,901,37584,8.1,19.1,0.425,1,3.2,0.313,7.1,15.8,0.448,0.452,6.1,7.8,0.78,0.7,2.5,3.3,5.4,1.9,0.2,3.1,1.7,23.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (12 Yrs),PHI (12 Yrs),PHI (12 Yrs),PHI (12 Yrs),,722,717,29879,8.4,19.9,0.421,1.1,3.5,0.309,7.3,16.5,0.444,0.448,6.2,7.9,0.779,0.8,2.6,3.4,5.3,2,0.2,3.2,1.8,24,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,135,134,5668,7.4,16.2,0.456,0.9,2.7,0.344,6.4,13.4,0.479,0.485,6.3,8,0.79,0.4,2.1,2.6,6.1,1.6,0.2,2.9,1.2,22,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,54,50,1970,6,14.5,0.416,0.5,1.7,0.286,5.6,12.8,0.432,0.432,4.6,5.9,0.786,0.5,2.5,3,4.8,1.6,0.1,2.5,1.5,17.2,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,3,0,67,8.1,14,0.577,0.5,0.5,1,7.5,13.4,0.56,0.596,3.2,6.4,0.5,0.5,1.6,2.1,5.9,0.5,0,3.8,2.7,19.9,