Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,122,1,1996-04-26,CHI,,MIA,W 102-85,*,38:00:00,13,22,0.591,0,1,0,13,21,0.619,0.591,9,12,0.75,2,2,4,2,1,1,4,5,35,22.7
2,123,2,1996-04-28,CHI,,MIA,W 106-75,*,32:00:00,9,17,0.529,2,3,0.667,7,14,0.5,0.588,9,12,0.75,0,4,4,4,1,0,0,0,29,24.5
3,124,3,1996-05-01,CHI,@,MIA,W 112-91,*,33:00:00,10,23,0.435,3,6,0.5,7,17,0.412,0.5,3,3,1,1,2,3,2,3,0,0,0,26,19.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,125,4,1996-05-05,CHI,,NYK,W 91-84,*,41:00:00,17,35,0.486,1,5,0.2,16,30,0.533,0.5,9,9,1,1,4,5,2,0,0,1,4,44,27
5,126,5,1996-05-07,CHI,,NYK,W 91-80,*,40:00:00,11,25,0.44,1,3,0.333,10,22,0.455,0.46,5,5,1,3,2,5,5,3,0,2,0,28,22.1
6,127,6,1996-05-11,CHI,@,NYK,L 99-102 (OT),*,51:00:00,17,35,0.486,2,5,0.4,15,30,0.5,0.514,10,13,0.769,3,1,4,2,2,0,4,2,46,28.1
7,128,7,1996-05-12,CHI,@,NYK,W 94-91,*,40:00:00,7,23,0.304,2,7,0.286,5,16,0.313,0.348,11,13,0.846,2,6,8,8,2,1,0,5,27,22.4
8,129,8,1996-05-14,CHI,,NYK,W 94-81,*,43:00:00,13,29,0.448,1,2,0.5,12,27,0.444,0.466,8,9,0.889,1,1,2,5,2,0,2,5,35,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,130,9,1996-05-19,CHI,,ORL,W 121-83,*,37:00:00,9,17,0.529,1,2,0.5,8,15,0.533,0.559,2,3,0.667,2,5,7,4,2,0,3,3,21,15.8
10,131,10,1996-05-21,CHI,,ORL,W 93-88,*,43:00:00,9,21,0.429,2,4,0.5,7,17,0.412,0.476,15,16,0.938,1,4,5,6,4,1,2,2,35,31.5
11,132,11,1996-05-25,CHI,@,ORL,W 86-67,*,39:00:00,5,14,0.357,1,1,1,4,13,0.308,0.393,6,11,0.545,3,4,7,4,2,1,2,1,17,13.6
12,133,12,1996-05-27,CHI,@,ORL,W 106-101,*,44:00:00,16,23,0.696,3,4,0.75,13,19,0.684,0.761,10,14,0.714,2,1,3,5,1,1,4,5,45,34.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,134,13,1996-06-05,CHI,,SEA,W 107-90,*,41:00:00,9,18,0.5,1,4,0.25,8,14,0.571,0.528,9,10,0.9,0,7,7,2,2,1,2,4,28,21.2
14,135,14,1996-06-07,CHI,,SEA,W 92-88,*,43:00:00,9,22,0.409,1,2,0.5,8,20,0.4,0.432,10,16,0.625,2,4,6,8,2,0,2,3,29,21.8
15,136,15,1996-06-09,CHI,@,SEA,W 108-86,*,41:00:00,11,23,0.478,3,4,0.75,8,19,0.421,0.543,11,11,1,2,1,3,5,2,0,3,1,36,28.1
16,137,16,1996-06-12,CHI,@,SEA,L 86-107,*,41:00:00,6,19,0.316,0,2,0,6,17,0.353,0.316,11,13,0.846,1,2,3,2,1,0,4,3,23,9.8
17,138,17,1996-06-14,CHI,@,SEA,L 78-89,*,43:00:00,11,22,0.5,0,4,0,11,18,0.611,0.5,4,5,0.8,2,2,4,1,1,0,2,3,26,15.1
18,139,18,1996-06-16,CHI,,SEA,W 87-75,*,43:00:00,5,19,0.263,1,3,0.333,4,16,0.25,0.289,11,12,0.917,3,6,9,7,2,0,5,3,22,14.9
,,,,,,,15-3,18,733,187,407,0.459,25,62,0.403,162,345,0.47,0.49,153,187,0.818,31,58,89,74,33,6,42,49,552,21.9