Season,Age,Team,Lg,Pos,G,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards
1959-60,23,PHW,NBA,C,72,3338,28.1,0.493,0.429,,,9,8,17,0.245,MVP-1ROY-1ASNBA1
1960-61,24,PHW,NBA,C,79,3773,27.8,0.519,0.429,,,12.3,6.5,18.8,0.24,MVP-4ASNBA1
1961-62,25,PHW,NBA,C,80,3882,32.1,0.536,0.431,,,17.1,6,23.1,0.286,MVP-2ASNBA1
1962-63,26,SFW,NBA,C,80,3806,31.8,0.55,0.402,,,16,5,20.9,0.264,MVP-7ASNBA2
1963-64,27,SFW,NBA,C,80,3689,31.6,0.537,0.442,,,14.4,10.6,25,0.325,MVP-2ASNBA1
1964-65,28,2TM,NBA,C,73,3301,28.6,0.513,0.422,,13.8,9.6,5.5,15.1,0.22,MVP-5ASNBA2
1964-65,28,SFW,NBA,C,38,1743,29.8,0.495,0.392,,13.6,4.3,3.2,7.5,0.208,
1964-65,28,PHI,NBA,C,35,1558,27.3,0.54,0.47,,14.1,5.3,2.3,7.6,0.233,
1965-66,29,PHI,NBA,C,79,3737,28.3,0.547,0.49,,16.8,12.9,8.5,21.4,0.275,MVP-1ASNBA1
1966-67,30,PHI,NBA,C,81,3682,26.5,0.637,0.761,,21.7,14.8,7,21.9,0.285,MVP-1ASNBA1
1967-68,31,PHI,NBA,C,82,3836,24.7,0.557,0.677,,23.2,9.7,10.7,20.4,0.255,MVP-1ASNBA1
1968-69,32,LAL,NBA,C,81,3669,21.9,0.564,0.78,,13.8,9.4,5.3,14.7,0.192,AS
1969-70,33,LAL,NBA,C,12,505,24.8,0.554,0.692,,14.5,1.4,1,2.3,0.221,
1970-71,34,LAL,NBA,C,82,3630,20.3,0.558,0.546,18.4,12.7,8.2,4.5,12.6,0.167,AS
1971-72,35,LAL,NBA,C,82,3469,18.5,0.61,0.686,20.1,11.2,7.9,7.9,15.8,0.219,MVP-3ASNBA2DEF1
1972-73,36,LAL,NBA,C,82,3542,19.1,0.689,0.776,19.6,12.5,10.7,7.5,18.2,0.247,MVP-4ASDEF1
1973-74,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year,Did not play - sat out option year
14 Yrs,14 Yrs,14 Yrs,14 Yrs,,1045,47859,26.2,0.547,0.505,19.4,15.8,153.3,93.9,247.3,0.248,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,3755,26.2,0.547,0.505,,,12,7.4,19.4,0.248,
,,,,,,,,,,,,,,,,
SFW (6 Yrs),SFW (6 Yrs),SFW (6 Yrs),SFW (6 Yrs),,429,20231,30.3,0.525,0.423,,13.6,73.1,39.3,112.4,0.267,
LAL (5 Yrs),LAL (5 Yrs),LAL (5 Yrs),LAL (5 Yrs),,339,14815,20.2,0.59,0.682,19.4,12.6,37.5,26.1,63.6,0.206,
PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,277,12813,26.6,0.57,0.594,,19.8,42.7,28.6,71.2,0.267,